"year";"orgnr";"denominator";"ind_id";"var"
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974116588;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
2018;974207532;1;"leddprotese_tromb_hofte";1
